dupl,new
470.0,1998107.0
471.0,1998108.0
472.0,1998109.0
473.0,1998110.0
474.0,1998111.0
475.0,1998112.0
476.0,1998113.0
477.0,1998114.0
478.0,1998115.0
479.0,1998116.0
480.0,1998117.0
481.0,1998118.0
482.0,1998119.0
483.0,1998120.0
484.0,1998121.0
485.0,1998122.0
486.0,1998123.0
487.0,1998124.0
488.0,1998125.0
489.0,1998126.0
490.0,1998127.0
491.0,1998128.0
492.0,1998129.0
493.0,1998130.0
494.0,1998131.0
495.0,1998132.0
496.0,1998133.0
497.0,1998134.0
498.0,1998135.0
499.0,1998136.0
500.0,1998137.0
501.0,1998138.0
502.0,1998139.0
503.0,1998140.0
504.0,1998141.0
505.0,1998142.0
506.0,1998143.0
507.0,1998144.0
508.0,1998145.0
509.0,1998146.0
510.0,1998147.0
511.0,1998148.0
512.0,1998149.0
513.0,1998150.0
514.0,1998151.0
515.0,1998152.0
516.0,1998153.0
517.0,1998154.0
518.0,1998155.0
519.0,1998156.0
520.0,1998157.0
521.0,1998158.0
522.0,1998159.0
523.0,1998160.0
524.0,1998161.0
525.0,1998162.0
526.0,1998163.0
527.0,1998164.0
528.0,1998165.0
529.0,1998166.0
530.0,1998167.0
531.0,1998168.0
532.0,1998169.0
533.0,1998170.0
534.0,1998171.0
535.0,1998172.0
536.0,1998173.0
537.0,1998174.0
538.0,1998175.0
539.0,1998176.0
540.0,1998177.0
541.0,1998178.0
542.0,1998179.0
543.0,1998180.0
544.0,1998181.0
545.0,1998182.0
546.0,1998183.0
547.0,1998184.0
548.0,1998185.0
549.0,1998186.0
550.0,1998187.0
551.0,1998188.0
552.0,1998189.0
553.0,1998190.0
554.0,1998191.0
555.0,1998192.0
556.0,1998193.0
557.0,1998194.0
558.0,1998195.0
559.0,1998196.0
560.0,1998197.0
561.0,1998198.0
562.0,1998199.0
563.0,1998200.0
564.0,1998201.0
565.0,1998202.0
566.0,1998203.0
567.0,1998204.0
568.0,1998205.0
569.0,1998206.0
570.0,1998207.0
571.0,1998208.0
572.0,1998209.0
573.0,1998210.0
574.0,1998211.0
575.0,1998212.0
576.0,1998213.0
577.0,1998214.0
578.0,1998215.0
579.0,1998216.0
580.0,1998217.0
581.0,1998218.0
582.0,1998219.0
583.0,1998220.0
584.0,1998221.0
585.0,1998222.0
586.0,1998223.0
587.0,1998224.0
588.0,1998225.0
589.0,1998226.0
590.0,1998227.0
591.0,1998228.0
592.0,1998229.0
593.0,1998230.0
594.0,1998231.0
595.0,1998232.0
596.0,1998233.0
597.0,1998234.0
598.0,1998235.0
599.0,1998236.0
600.0,1998237.0
601.0,1998238.0
602.0,1998239.0
603.0,1998240.0
604.0,1998241.0
605.0,1998242.0
606.0,1998243.0
607.0,1998244.0
608.0,1998245.0
609.0,1998246.0
610.0,1998247.0
611.0,1998248.0
612.0,1998249.0
613.0,1998250.0
614.0,1998251.0
615.0,1998252.0
616.0,1998253.0
617.0,1998254.0
618.0,1998255.0
619.0,1998256.0
620.0,1998257.0
621.0,1998258.0
622.0,1998259.0
623.0,1998260.0
624.0,1998261.0
625.0,1998262.0
626.0,1998263.0
627.0,1998264.0
628.0,1998265.0
629.0,1998266.0
630.0,1998267.0
631.0,1998268.0
632.0,1998269.0
633.0,1998270.0
634.0,1998271.0
635.0,1998272.0
636.0,1998273.0
637.0,1998274.0
638.0,1998275.0
639.0,1998276.0
640.0,1998277.0
641.0,1998278.0
642.0,1998279.0
643.0,1998280.0
644.0,1998281.0
645.0,1998282.0
646.0,1998283.0
647.0,1998284.0
648.0,1998285.0
649.0,1998286.0
650.0,1998287.0
651.0,1998288.0
652.0,1998289.0
653.0,1998290.0
654.0,1998291.0
655.0,1998292.0
656.0,1998293.0
657.0,1998294.0
658.0,1998295.0
659.0,1998296.0
660.0,1998297.0
661.0,1998298.0
662.0,1998299.0
663.0,1998300.0
664.0,1998301.0
665.0,1998302.0
666.0,1998303.0
667.0,1998304.0
668.0,1998305.0
669.0,1998306.0
670.0,1998307.0
671.0,1998308.0
672.0,1998309.0
673.0,1998310.0
674.0,1998311.0
675.0,1998312.0
676.0,1998313.0
677.0,1998314.0
678.0,1998315.0
679.0,1998316.0
680.0,1998317.0
681.0,1998318.0
682.0,1998319.0
683.0,1998320.0
684.0,1998321.0
685.0,1998322.0
686.0,1998323.0
687.0,1998324.0
688.0,1998325.0
689.0,1998326.0
690.0,1998327.0
691.0,1998328.0
692.0,1998329.0
693.0,1998330.0
694.0,1998331.0
695.0,1998332.0
696.0,1998333.0
697.0,1998334.0
698.0,1998335.0
699.0,1998336.0
700.0,1998337.0
701.0,1998338.0
702.0,1998339.0
703.0,1998340.0
704.0,1998341.0
705.0,1998342.0
706.0,1998343.0
707.0,1998344.0
708.0,1998345.0
709.0,1998346.0
710.0,1998347.0
711.0,1998348.0
712.0,1998349.0
713.0,1998350.0
714.0,1998351.0
715.0,1998352.0
716.0,1998353.0
717.0,1998354.0
718.0,1998355.0
719.0,1998356.0
720.0,1998357.0
721.0,1998358.0
722.0,1998359.0
723.0,1998360.0
724.0,1998361.0
725.0,1998362.0
726.0,1998363.0
727.0,1998364.0
728.0,1998365.0
729.0,1998366.0
730.0,1998367.0
731.0,1998368.0
732.0,1998369.0
733.0,1998370.0
734.0,1998371.0
735.0,1998372.0
736.0,1998373.0
737.0,1998374.0
738.0,1998375.0
739.0,1998376.0
740.0,1998377.0
741.0,1998378.0
742.0,1998379.0
743.0,1998380.0
744.0,1998381.0
745.0,1998382.0
746.0,1998383.0
747.0,1998384.0
748.0,1998385.0
749.0,1998386.0
750.0,1998387.0
751.0,1998388.0
